failure_type,Date,regime,model_name,feature_set,y_true,y_pred,y_pred_proba,threshold,signal,return_next_day,strategy_return_net,headline_count,vix,daily_text_snippet
classification_error,2024-02-09,Other,XGB,all,0,1,0.5820017059644064,0.5,1,-0.000948949689751,-0.000948949689751,34,12.93,"As S&P 500 breaches 5000, its valuation hits lofty levels as well . Digging Into The Big Tech Rally. . Markets News, Feb. 9, 2024: S&P 500 Tops 5K, Nasdaq Approaches 16K Amid Tech Rally . Megacaps rally pushes S&P 500 to first close above 5000 milestone . Outlook on S&P 500: is t"
classification_error,2024-03-01,Other,XGB,all,0,1,0.5775435169537863,0.5,1,-0.0011932849011501,-0.0011932849011501,30,13.11,Analysts Making Smaller Cuts Than Average to EPS Estimates for S&P 500 Companies for Q1 . BofA says this S&P 500 rally could exceed 5400 By Investing.com . Is S&P 500 in a bubble zone? JP Morgan says the indexs rally is at risk . Latest Changes to S&P 500 Rebalancing: Super Micro
false_long_loss,2022-04-28,2022-2023 rate-hike cycle,Logit,all,0,1,0.5486987326379167,0.54,1,-0.0362845481049561,-0.0362845481049561,4,29.99,Barclays Suspends Sales For 30 iPath ETNs . Dow tumbles more than 900 points and the Nasdaq drops 4% on Friday to close out a brutal month . Investors Love These 15 Dirt-Cheap Stocks Paying Big Dividends . This Inverse S&P 500 ETF Is up 15% In the Past Month
false_long_loss,2022-04-28,2022-2023 rate-hike cycle,XGB,all,0,1,0.561243494351705,0.5,1,-0.0362845481049561,-0.0362845481049561,4,29.99,Barclays Suspends Sales For 30 iPath ETNs . Dow tumbles more than 900 points and the Nasdaq drops 4% on Friday to close out a brutal month . Investors Love These 15 Dirt-Cheap Stocks Paying Big Dividends . This Inverse S&P 500 ETF Is up 15% In the Past Month
false_long_loss,2022-05-04,2022-2023 rate-hike cycle,Logit,all,0,1,0.559075259466545,0.54,1,-0.035649753381843,-0.035649753381843,8,25.42,"A full recap of the Fed's rate hike and big market rally . Best Performing Dividend ETFs For April 2022 - ETF Focus on TheStreet: ETF research and Trade Ideas . Dow tumbles 1,000 points for the worst day since 2020, Nasdaq drops 5% . Is the Big Tech crash already over? . Johnson "
false_long_loss,2022-05-04,2022-2023 rate-hike cycle,XGB,all,0,1,0.5559583703676859,0.5,1,-0.035649753381843,-0.035649753381843,8,25.42,"A full recap of the Fed's rate hike and big market rally . Best Performing Dividend ETFs For April 2022 - ETF Focus on TheStreet: ETF research and Trade Ideas . Dow tumbles 1,000 points for the worst day since 2020, Nasdaq drops 5% . Is the Big Tech crash already over? . Johnson "
false_long_loss,2022-05-17,2022-2023 rate-hike cycle,Logit,all,0,1,0.5640582435174709,0.54,1,-0.0403952211502012,-0.0403952211502012,6,26.1,"$300 a Month in These 3 Stocks Could Make You a Millionaire by Retirement . Consumer staples' valuations are extreme, even compared to bonds | Insights . How To Use S&P 500 Futures To Predict Market Movement - NVR (NYSE:NVR) . How does Warren Buffett beat the stock market? . Warr"
false_long_loss,2022-05-17,2022-2023 rate-hike cycle,XGB,all,0,1,0.5555168787638346,0.5,1,-0.0403952211502012,-0.0403952211502012,6,26.1,"$300 a Month in These 3 Stocks Could Make You a Millionaire by Retirement . Consumer staples' valuations are extreme, even compared to bonds | Insights . How To Use S&P 500 Futures To Predict Market Movement - NVR (NYSE:NVR) . How does Warren Buffett beat the stock market? . Warr"
false_long_loss,2022-06-10,2022-2023 rate-hike cycle,Logit,all,0,1,0.5630741091685616,0.54,1,-0.0387683741533918,-0.0387683741533918,9,27.75,"ESG metrics making their way into more S&P 500 firms' incentive plans . Highest Number of S&P 500 Companies Citing “Inflation” on Q1 Earnings Calls in Over 10 Years . Stock Market News for Jun 10, 2022 . Stock market's post-CPI slide in keeping with recent history . The US funds "
false_long_loss,2022-06-10,2022-2023 rate-hike cycle,XGB,all,0,1,0.5511091550191244,0.5,1,-0.0387683741533918,-0.0387683741533918,9,27.75,"ESG metrics making their way into more S&P 500 firms' incentive plans . Highest Number of S&P 500 Companies Citing “Inflation” on Q1 Earnings Calls in Over 10 Years . Stock Market News for Jun 10, 2022 . Stock market's post-CPI slide in keeping with recent history . The US funds "
false_long_loss,2022-08-25,2022-2023 rate-hike cycle,Logit,all,0,1,0.5593187574094238,0.54,1,-0.033688010821315,-0.033688010821315,3,21.78,"How Has the Dividend Aristocrat Index Performed Relative to the S&P 500 Index? . S&P 500, Nasdaq Futures Firm Up Ahead Of Fed Jackson Hole Event, Q2 GDP Data; Tesla In Focus Today . Stock Market News for Aug 25, 2022"
false_long_loss,2022-08-25,2022-2023 rate-hike cycle,XGB,all,0,1,0.5470106601715088,0.5,1,-0.033688010821315,-0.033688010821315,3,21.78,"How Has the Dividend Aristocrat Index Performed Relative to the S&P 500 Index? . S&P 500, Nasdaq Futures Firm Up Ahead Of Fed Jackson Hole Event, Q2 GDP Data; Tesla In Focus Today . Stock Market News for Aug 25, 2022"
false_long_loss,2022-09-12,2022-2023 rate-hike cycle,Logit,all,0,1,0.5548858383395329,0.54,1,-0.043236562775976,-0.043236562775976,11,23.87,'A Dangerous Looking Moment in Global Economics' — Veteran Investor Jeremy Grantham Warns S&P 500 Could ... . 15 Stocks Billionaire Investors Agree It's Smart To Buy Now . 6 Best Stock Market Books to Read in 2022 . A History Lesson: S&P 500 to Gold Ratio - OpenMarkets . CoStar G
false_long_loss,2022-09-12,2022-2023 rate-hike cycle,XGB,all,0,1,0.5521751840909322,0.5,1,-0.043236562775976,-0.043236562775976,11,23.87,'A Dangerous Looking Moment in Global Economics' — Veteran Investor Jeremy Grantham Warns S&P 500 Could ... . 15 Stocks Billionaire Investors Agree It's Smart To Buy Now . 6 Best Stock Market Books to Read in 2022 . A History Lesson: S&P 500 to Gold Ratio - OpenMarkets . CoStar G
missed_rally,2022-01-13,2022-2023 rate-hike cycle,Logit,all,1,0,0.5386840771420554,0.54,0,0.0008199131578892,0.0,6,20.31,"10 of the Oldest Companies in the S&P 500 . Bitcoin Outperformed Crude Oil, S&P 500, NASDAQ, and Gold in 2021 (CoinGecko Report) . Hedge funds still can't match the S&P 500 . Op-ed: These big names propelled the S&P 500 last year. Here’s what’s ahead for 2022 . Profits for S&P 50"
missed_rally,2022-05-24,2022-2023 rate-hike cycle,Logit,all,1,0,0.5397696925453915,0.54,0,0.0094507646873762,0.0,13,29.45,"A ""Lost Decade"" Ahead For Markets? - RIA . After rocky period, U.S. stocks will end year up from current levels: Reuters poll . Coinbase Becomes First Crypto Company to Enter Fortune 500 . Concerns Emerge Even as Dividends Rise . ETF industry at loggerheads following Tesla ejecti"
